CALLE;NUMERO;M2;DOLARES;U_S_M2;AMBIENTES;ANTIGUEDAD;ORIENT;BAULERA;COCHERA;BAÑOS;LAVADERO;TERRAZA;BARRIO;COMUNA;LON;LAT
3 DE FEBRERO;2800;60;75000;1250.0;2;A ESTRENAR;;;;2;;;BELGRANO;13;-58.457706756475091;-34.552998243119063
ACEVEDO;100;52;54900;1055.8;3;55;CONTRAFRENTE;;;;SI;BALCON;VILLA CRESPO;15;-58.443931035000858;-34.600541867874263
ACEVEDO;130;58;51500;887.9;3;50;CONTRAFRENTE;;;;SI;BALCON;VILLA CRESPO;15;-58.443605095435856;-34.600274985850909
ACEVEDO;130;50;48000;960.0;3;0;;;;;;;VILLA CRESPO;15;-58.443605095435856;-34.600274985850909
ACEVEDO;200;55;53500;972.7;3;30;CONTRAFRENTE;;;;SI;BALCON;VILLA CRESPO;15;-58.442919064761263;-34.599714547559799
ACEVEDO;300;77;59500;772.7;0;0;;;;;SI;BALCON;VILLA CRESPO;15;-58.441885858340314;-34.598873393104967
ACEVEDO, EDUARDO;100;160;175000;1093.8;5;28;DOBLE FRENTE;;SI;3;SI;BALCON;CABALLITO;6;-58.43100490443976;-34.614417951923386
ACEVEDO, EDUARDO;100;146;135000;924.7;4;12;;;SI;;SI;BALCON;CABALLITO;6;-58.43100490443976;-34.614417951923386
ACEVEDO, EDUARDO;200;59;65000;1101.7;3;8;FRENTE;;;;SI;BALCON;CABALLITO;6;-58.430893496985369;-34.613622405796519
ACEVEDO, EDUARDO;300;60;64500;1075.0;0;0;FRENTE;;;;;BALCON;CABALLITO;6;-58.431474413184347;-34.612409798469784
ACEVEDO, EDUARDO;300;82;108000;1317.1;3;A ESTRENAR;FRENTE;;;;SI;BALCON;CABALLITO;6;-58.431474413184347;-34.612409798469784
ACHA, MARIANO, Gral.;1400;72;72900;1012.5;0;0;FRENTE;;;;;;VILLA ORTUZAR;15;-58.472307208350401;-34.57961876844643
ACHA, MARIANO, Gral.;2500;61;55000;901.6;3;29;FRENTE;;;1;SI;BALCON;VILLA URQUIZA;12;-58.479170708377723;-34.570141717763853
ACHA, MARIANO, Gral.;2500;54;55000;1018.5;3;25;FRENTE;;;;SI;BALCON;VILLA URQUIZA;12;-58.479170708377723;-34.570141717763853
ACHA, MARIANO, Gral.;2700;74;83000;1121.6;0;0;;;;2;;TERRAZA;VILLA URQUIZA;12;-58.480865973085258;-34.568229684916162
ACHA, MARIANO, Gral.;3100;62;82500;1330.6;3;A ESTRENAR;FRENTE;;;;SI;BALCON;VILLA URQUIZA;12;-58.483700969759902;-34.565085461947483
ACHAVAL;200;67;67000;1000.0;3;38;CONTRAFRENTE;;;;;BALCON;CABALLITO;6;-58.450033634726331;-34.626505666193374
ACHAVAL;600;87;91000;1046.0;4;0;;;;;;;PARQUE CHACABUCO;7;-58.447387812229636;-34.631574039556888
